type,lengthInMeters,endAConnector,endAIstrue,encBConnector,endBIstrue,count
Ethernet,10,RJ45,true,RJ45,true,1
USB,0.7,USB-A,true,USB-A,true,1
USB,3,USB-A,true,USB-B,true,1
HDMI,2,TypeA,true,TypeA,true,1
AUX,3,3.5,true,3.5,false,1
USB,0.7,Micro USB,true,USB-A,true,1
USB,0.3,Micro USB,true,USB-A,true,1
HDMI,2,TypeA,true,TypeA,true,1
AUX,1.2,3.5,true,2.5,true,1
USB,0.25,Micro USB,true,USB-A,true,1
USB,0.1,USB-C,true,USB-A,false,1
USB,0.2,USB-C,true,USB-A,true,1
USB,0.2,Micro USB,true,USB-A,true,1
Coaxial,2,TV Aerial,true,TV Aerial,true,1
